MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Rank,Metric,Time
64,64,16,0,-1,Total_Execution_Sec,12.923243
64,64,16,0,-1,lib_Checkpoint Total,30.967367
64,64,16,0,-1,lib_Checkpoint Total,30.967748
64,64,16,0,-1,lib_Checkpoint Total,30.966626
64,64,16,0,-1,lib_Checkpoint Total,30.966446
64,64,16,0,-1,lib_Checkpoint Total,30.960816
64,64,16,0,-1,lib_Checkpoint Total,30.970033
64,64,16,0,-1,lib_Checkpoint Total,30.976776
64,64,16,0,-1,lib_Checkpoint Total,30.986213
64,64,16,0,-1,lib_Checkpoint Total,31.038471
64,64,16,0,-1,lib_Checkpoint Total,31.042469
64,64,16,0,-1,lib_Checkpoint Total,31.05867
64,64,16,0,-1,lib_Checkpoint Total,31.057789
64,64,16,0,-1,lib_Checkpoint Total,31.064561
64,64,16,0,-1,lib_Checkpoint Total,31.064581
64,64,16,0,-1,lib_Checkpoint Total,31.06422
64,64,16,0,-1,lib_Checkpoint Total,31.070422
64,64,16,0,-1,lib_Checkpoint Total,31.095169
64,64,16,0,-1,lib_Checkpoint Total,31.094778
64,64,16,0,-1,lib_Checkpoint Total,31.100308
64,64,16,0,-1,lib_Checkpoint Total,31.10657
64,64,16,0,-1,lib_Checkpoint Total,31.100058
64,64,16,0,-1,lib_Checkpoint Total,31.10648
64,64,16,0,-1,lib_Checkpoint Total,31.105568
64,64,16,0,-1,lib_Checkpoint Total,31.10653
64,64,16,0,-1,lib_Checkpoint Total,31.112511
64,64,16,0,-1,lib_Checkpoint Total,31.118192
64,64,16,0,-1,lib_Checkpoint Total,31.120907
64,64,16,0,-1,lib_Checkpoint Total,31.120456
64,64,16,0,-1,lib_Checkpoint Total,31.124424
64,64,16,0,-1,lib_Checkpoint Total,31.120106
64,64,16,0,-1,lib_Checkpoint Total,31.128842
64,64,16,0,-1,lib_Checkpoint Total,31.12782
64,64,16,0,-1,lib_Checkpoint Total,31.144021
64,64,16,0,-1,lib_Checkpoint Total,31.145083
64,64,16,0,-1,lib_Checkpoint Total,31.143089
64,64,16,0,-1,lib_Checkpoint Total,31.144492
64,64,16,0,-1,lib_Checkpoint Total,31.142257
64,64,16,0,-1,lib_Checkpoint Total,31.144402
64,64,16,0,-1,lib_Checkpoint Total,31.142778
64,64,16,0,-1,lib_Checkpoint Total,31.147988
64,64,16,0,-1,lib_Checkpoint Total,31.156244
64,64,16,0,-1,lib_Checkpoint Total,31.155102
64,64,16,0,-1,lib_Checkpoint Total,31.171573
64,64,16,0,-1,lib_Checkpoint Total,31.166483
64,64,16,0,-1,lib_Checkpoint Total,31.17032
64,64,16,0,-1,lib_Checkpoint Total,31.195168
64,64,16,0,-1,lib_Checkpoint Total,31.195287
64,64,16,0,-1,lib_Checkpoint Total,31.195147
64,64,16,0,-1,lib_Checkpoint Total,31.20731
64,64,16,0,-1,lib_Checkpoint Total,31.208142
64,64,16,0,-1,lib_Checkpoint Total,31.250391
64,64,16,0,-1,lib_Checkpoint Total,31.25018
64,64,16,0,-1,lib_Checkpoint Total,31.247576
64,64,16,0,-1,lib_Checkpoint Total,31.262684
64,64,16,0,-1,lib_Checkpoint Total,31.261892
64,64,16,0,-1,lib_Checkpoint Total,31.262153
64,64,16,0,-1,lib_Checkpoint Total,31.257414
64,64,16,0,-1,lib_Checkpoint Total,31.267924
64,64,16,0,-1,lib_Checkpoint Total,31.267984
64,64,16,0,-1,lib_Checkpoint Total,31.253908
64,64,16,0,-1,lib_Checkpoint Total,31.267724
64,64,16,0,-1,lib_Checkpoint Total,31.267924
64,64,16,0,-1,lib_Checkpoint Total,31.272242
64,64,16,0,-1,lib_Checkpoint Total,31.264187
64,64,16,0,-1,lib_Mem DeReg Wait,145.640438
64,64,16,0,-1,lib_Mem DeReg Wait,150.60029
64,64,16,0,-1,lib_Mem DeReg Wait,153.649358
64,64,16,0,-1,lib_Mem DeReg Wait,154.256403
64,64,16,0,-1,lib_Mem DeReg Wait,158.510874
64,64,16,0,-1,lib_Mem DeReg Wait,166.261418
64,64,16,0,-1,lib_Mem DeReg Wait,176.367433
64,64,16,0,-1,lib_Mem DeReg Wait,177.476573
64,64,16,0,-1,lib_Mem DeReg Wait,189.804496
64,64,16,0,-1,lib_Mem DeReg Wait,199.632797
64,64,16,0,-1,lib_Mem DeReg Wait,202.670616
64,64,16,0,-1,lib_Mem DeReg Wait,207.243778
